flight_id,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Price Category Code,Terminal,Boarding Area
12922,United Airlines,UA,United Airlines,UA,International,Canada,Other,Terminal 3,E
12931,United Airlines,UA,United Airlines,UA,International,Mexico,Other,Terminal 3,E
12932,United Airlines,UA,United Airlines,UA,International,Mexico,Other,Terminal 3,F
12983,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Other,International,A
13001,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Other,Terminal 1,B
13025,Swissport USA,,Swissport USA,,International,Central America,Other,International,A
13096,China Southern,CZ,China Southern,CZ,International,Asia,Other,International,A
13258,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Low Fare,International,A
13573,Compass Airlines,CP,American Airlines,AA,Domestic,US,Other,Terminal 2,D
13621,Turkish Airlines,TK,Turkish Airlines,TK,International,Europe,Other,International,G
13745,US Airways,US ,US Airways,US ,Domestic,US,Other,Terminal 1,C
14172,"COPA Airlines, Inc.",CM,"COPA Airlines, Inc.",CM,International,Central America,Other,International,G
14202,JetBlue Airways ,B6,JetBlue Airways ,B6,Domestic,US,Low Fare,International,G
14289,American Airlines,AA,American Airlines,AA,Domestic,US,Other,Terminal 1,C
14372,United Airlines,UA,United Airlines,UA,International,Asia,Other,Terminal 3,F
14524,Air India Limited,AI,Air India Limited,AI,International,Asia,Other,International,G
14954,SkyWest Airlines,OO,Alaska Airlines,AS,Domestic,US,Other,International,A
